Zebrafish 4 hpf, mock injected
Genes included in this table either have 1 or more poly(A) tags, or have RPF RPKM > 0 and RNA RPM > 10.0 for samples with mRNA-Seq and ribosome profiling data
Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000131775	si:dkey-51e6.1	2	56.1	56.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000125804	rbms3	2	40.4	40.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000091377	MRS2	153	27.8	23.7	7.8	14.6	37.4	49.8	NA	NA	NA
ENSDART00000067086	nans	306	42.2	36.9	17.9	25.0	54.7	75.8	143.61	90.33	-0.668879097995
ENSDART00000123591	usp48	12	22.0	15.4	3.4	8.9	27.5	35.7	NA	NA	NA
ENSDART00000067733	C21H18orf25	98	32.1	29.4	8.4	19.0	43.7	58.6	47.04	21.55	-1.12620019086
ENSDART00000025782	nup93	42	45.9	42.2	16.7	34.8	60.1	69.7	22.78	61.92	1.44263772444
ENSDART00000067736	stk11	106	24.5	19.1	4.1	11.1	28.9	49.9	27.2	2.19	-3.63460387654
ENSDART00000122683	srp14	111	76.8	79.4	25.9	43.6	106.0	124.8	112.4	255.82	1.18648702293
ENSDART00000005221	prkrirb	97	44.6	40.0	13.7	24.5	60.9	77.7	29.12	39.65	0.445310510393
ENSDART00000132976	dgcr14	54	30.4	25.1	9.9	18.2	44.6	56.4	NA	NA	NA
ENSDART00000132971	mdm1	2	8.0	8.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000138568	mgst3	46	37.4	33.8	14.7	23.4	49.9	62.9	NA	NA	NA
ENSDART00000044918	EPHA2	15	118.6	124.7	44.2	85.0	154.5	178.1	NA	NA	NA
ENSDART00000012132	cbwd	8	53.7	52.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000019003	psmd10	194	22.7	17.6	5.5	10.5	28.5	45.4	NA	NA	NA
ENSDART00000017456	vent	42	54.4	30.7	8.4	16.6	67.5	136.7	NA	NA	NA
ENSDART00000138125	hes2.2	6	70.1	80.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127704	BX005085.2	6	74.6	66.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127705	AKNA	2	55.7	55.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000053408	HAUS2	29	37.2	36.1	17.1	25.9	49.3	56.6	NA	NA	NA
ENSDART00000141606	commd8	56	35.9	32.8	13.5	23.8	41.2	61.6	NA	NA	NA
ENSDART00000127702	prpf6	133	109.6	115.8	57.9	92.0	133.6	149.0	47.72	126.85	1.41045757126
ENSDART00000054368	st5	3	47.5	41.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000053405	scamp2	32	52.0	50.6	17.3	33.4	61.0	86.0	NA	NA	NA
ENSDART00000053404	csrp3	1	29.4	29.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127443	prdm5	6	46.5	60.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127440	BEND2	22	30.1	24.3	5.8	7.8	36.6	74.0	NA	NA	NA
ENSDART00000090397	kiaa1549la	1	42.0	42.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127444	taf1a	144	40.1	40.6	15.3	22.8	54.7	66.2	37.06	38.0	0.036136537191
ENSDART00000042421	ppp2ca	10	90.5	82.1	38.5	59.8	93.1	173.2	NA	NA	NA
ENSDART00000139214	ogdhb	7	54.1	30.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000067558	spg11	29	23.7	23.5	6.0	12.8	32.5	45.2	10.08	0.61	-4.04654258594
ENSDART00000016321	rxrab	2	37.6	37.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000123759	rapgef1b	178	48.1	45.0	12.1	26.1	65.8	90.9	22.91	81.43	1.82958294368
ENSDART00000044314	itgav	19	39.2	35.4	8.0	13.9	55.4	74.5	9.96	12.17	0.289111520646
ENSDART00000044647	PPIL3	16	71.0	71.6	12.6	25.2	116.6	125.4	NA	NA	NA
ENSDART00000114247	zgc:66449	22	49.0	44.4	24.0	36.4	55.6	77.2	NA	NA	NA
ENSDART00000135930	arid1aa	133	19.9	17.3	2.8	9.9	26.4	34.3	20.81	9.82	-1.08348203542
ENSDART00000020621	mapk4	14	31.5	26.7	6.1	13.0	39.2	58.0	NA	NA	NA
ENSDART00000020327	mrpl16	24	29.8	26.7	11.9	18.7	40.4	49.1	NA	NA	NA
ENSDART00000113215	ide	923	57.1	55.3	19.2	34.4	79.5	96.1	52.41	516.21	3.30004407545
ENSDART00000114537	zic4	1	23.5	23.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000121661	zp2.6	118	43.2	36.4	13.4	22.7	58.2	82.8	NA	NA	NA
ENSDART00000121660	acot11b	1	51.5	51.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000114248	snx29	26	51.8	54.1	22.5	32.4	67.7	83.6	NA	NA	NA
ENSDART00000098563	plcb3	73	41.9	28.9	8.0	17.6	55.2	94.1	NA	NA	NA
ENSDART00000098565	CABZ01062083.1	105	28.0	19.7	3.1	6.9	36.7	75.7	NA	NA	NA
ENSDART00000098567	CRAT	1	16.6	16.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000084929	si:dkey-157l19.2	3	77.9	92.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000110409	FRMD5	1	40.8	40.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000110408	dph1	210	37.5	30.2	7.9	16.0	48.8	74.8	NA	NA	NA
ENSDART00000062092	trmt6	123	34.6	31.0	10.5	19.8	45.6	65.8	45.59	97.8	1.10111705597
ENSDART00000090025	BX530018.3	1	60.6	60.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000144439	vwa1	1	27.6	27.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000049944	smarcb1a	205	29.4	24.5	7.1	12.4	37.5	61.8	44.18	17.24	-1.35763364427
ENSDART00000075127	b2m	12	68.5	62.4	14.2	26.2	95.6	118.9	NA	NA	NA
ENSDART00000148514	aprt	75	38.0	30.0	7.9	16.9	58.2	75.4	NA	NA	NA
ENSDART00000035899	pkp2	1	167.8	167.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000123137	st3gal3b	38	32.7	32.8	9.1	18.1	44.5	60.2	NA	NA	NA
ENSDART00000101097	acp6	2	-0.9	-0.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000123131	pmaip1	1	115.6	115.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000075129	lrrc47	0	NA	NA	NA	NA	NA	NA	15.39	10.85	-0.504298188996
ENSDART00000113816	C16H8orf76	41	44.9	41.4	22.0	32.2	65.4	69.3	15.28	5.92	-1.36797546241
ENSDART00000113811	CU570881.1	24	68.3	40.3	8.9	17.6	112.1	164.3	NA	NA	NA
ENSDART00000112212	ZSWIM2	2	39.6	39.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000036901	fbxw11a	52	37.4	27.3	9.3	16.3	53.7	67.3	8.29	5.22	-0.667322294926
ENSDART00000148698	eme1	155	33.1	29.8	10.8	18.5	44.2	61.4	65.52	62.53	-0.0673868397299
ENSDART00000065772	ddt	82	58.9	60.2	13.3	29.7	83.5	104.2	NA	NA	NA
ENSDART00000140531	dimt1l	4	61.9	60.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000140532	si:dkey-6a5.3	2	81.4	81.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000150218	treh	89	55.3	55.5	18.5	33.9	72.2	90.1	NA	NA	NA
ENSDART00000112210	plekha5	77	50.4	42.9	14.4	24.5	75.0	96.9	6.99	29.09	2.05715893572
ENSDART00000034979	mospd1	96	44.0	40.9	14.4	23.8	58.3	75.9	NA	NA	NA
ENSDART00000007636	zgc:77118	3144	25.1	20.0	4.8	11.6	33.8	53.0	311.08	18.65	-4.0600381083
ENSDART00000007630	nhlh2	3	28.5	33.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127693	vps4b	231	45.2	42.3	14.2	23.5	59.7	83.0	NA	NA	NA
ENSDART00000122081	sybu	110	11.0	7.4	-3.3	2.1	17.9	25.9	NA	NA	NA
ENSDART00000040169	jakmip2	1	8.4	8.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000128727	DMXL1	101	34.6	32.3	6.7	17.3	49.0	73.8	23.24	6.57	-1.82264479308
ENSDART00000102952	suz12a	280	44.1	36.8	12.1	20.8	58.0	92.1	51.9	101.2	0.963402846336
ENSDART00000010942	rnf14	93	52.1	51.9	26.3	36.2	66.2	77.6	19.53	21.77	0.156649458301
ENSDART00000010792	ptdss1	212	74.3	72.5	31.0	48.8	96.6	115.6	41.03	74.73	0.865008368069
ENSDART00000106112	RRP8	77	44.6	45.0	14.2	30.3	57.5	71.9	26.76	30.57	0.192038436246
ENSDART00000045991	vrk1	5	23.8	20.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000141314	abi2a	28	89.6	89.7	46.2	76.9	107.7	127.7	11.29	23.03	1.02846892502
ENSDART00000060051	fgf14	14	42.9	47.7	8.3	23.1	63.7	77.6	NA	NA	NA
ENSDART00000060056	tpi1b	174	65.7	64.9	23.3	47.5	85.4	105.2	40.31	167.08	2.05132936031
ENSDART00000060505	mia3	518	111.9	115.0	64.2	89.7	137.7	155.9	31.22	72.45	1.21451515247
ENSDART00000149429	boka	1	63.0	63.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000060059	rbms2b	3	83.5	89.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000106244	zgc:171750	145	52.5	50.5	20.1	33.1	67.7	87.2	13.26	4.33	-1.61464184539
ENSDART00000106246	CABZ01006835.1	10	66.5	42.9	11.0	18.9	79.7	124.9	NA	NA	NA
ENSDART00000122966	hapln1a	1	43.1	43.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000038430	AKAP13	3	30.0	13.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000019416	lhfp	2	80.6	80.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000115321	ahctf1	270	28.4	20.9	5.0	10.8	36.1	59.4	49.0	11.25	-2.12285674779
ENSDART00000075413	cox7c	129	52.3	41.7	14.5	26.5	68.6	112.5	100.81	151.87	0.591198155557
ENSDART00000081633	SMC6	102	26.4	21.3	6.2	10.5	35.9	54.9	NA	NA	NA
ENSDART00000087246	pds5b	199	35.4	25.6	6.7	13.3	46.0	77.7	20.33	32.58	0.680376388681
ENSDART00000030683	tmpob	73	54.3	44.0	13.1	29.9	76.3	104.8	22.07	138.68	2.65160120692
ENSDART00000027428	chuk	261	48.8	46.1	13.5	27.8	64.9	84.9	34.6	97.67	1.49714345885
ENSDART00000067734	snx16	69	40.1	36.6	13.1	25.3	55.7	69.4	NA	NA	NA
ENSDART00000111129	ccar1	16	132.6	135.8	112.7	121.1	149.7	166.4	5.45	21.09	1.95223096013
ENSDART00000127699	CU019646.2	73	24.8	19.4	4.7	11.4	32.2	47.4	NA	NA	NA
ENSDART00000012862	isl2a	2	27.5	27.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000126297	sc5d	15	39.6	35.3	22.9	27.9	48.9	63.0	NA	NA	NA
ENSDART00000043924	mpp6b	30	36.9	35.6	10.9	18.0	52.0	68.2	NA	NA	NA
ENSDART00000077814	cdc16	137	38.6	35.1	11.0	18.0	53.9	73.6	46.8	40.2	-0.219313028404
ENSDART00000122660	hnrnpa0a	208	115.2	118.2	66.8	98.3	138.5	156.0	NA	NA	NA
ENSDART00000043920	mthfd2	19	34.3	27.6	7.4	9.9	43.4	76.0	NA	NA	NA
ENSDART00000081477	sri	58	67.7	72.0	22.4	41.0	93.7	114.6	NA	NA	NA
ENSDART00000132301	micu1	38	44.2	39.6	15.2	25.2	59.9	76.4	NA	NA	NA
ENSDART00000051712	gatad1	7	84.3	98.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000143340	cbx5	705	64.8	59.4	16.0	34.3	93.5	114.4	81.32	457.48	2.49202655309
ENSDART00000132309	gnptab	19	78.4	80.9	33.4	54.6	105.2	123.9	NA	NA	NA
ENSDART00000010420	actr1	207	49.2	43.6	15.8	26.0	64.1	82.7	NA	NA	NA
ENSDART00000018239	CU181898.1	1	72.6	72.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000018238	pdlim3a	2	36.6	36.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000045190	calb1	2	68.8	68.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000134794	spata6	14	37.6	38.8	15.4	23.2	51.0	60.3	NA	NA	NA
ENSDART00000018235	crot	5	96.6	127.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000134798	tdrd5	143	32.5	28.9	11.0	18.2	43.0	55.4	15.57	21.71	0.479590781536
ENSDART00000018230	ap4b1	3	64.1	68.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000111656	gpr78	9	42.1	44.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000086619	prkca	31	29.4	22.9	5.8	10.5	40.6	55.9	NA	NA	NA
ENSDART00000085574	CD109	1	197.3	197.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000027973	fabp2	1	111.6	111.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000085573	rgs7bpa	1	41.0	41.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000082070	RASSF3	94	59.8	54.1	21.1	36.5	75.9	108.4	NA	NA	NA
ENSDART00000055009	uncx4.1	19	45.5	29.2	3.9	14.1	80.2	113.4	NA	NA	NA
ENSDART00000148853	si:dkey-249d8.1	4	32.2	30.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000111941	zgc:174310	40	31.2	30.1	7.5	13.4	45.0	56.4	NA	NA	NA
ENSDART00000108942	ppargc1b	21	29.8	27.0	9.6	17.0	34.5	58.1	NA	NA	NA
ENSDART00000108945	GID4	20	55.5	52.0	24.4	33.6	76.4	89.7	NA	NA	NA
ENSDART00000135846	zfhx4	5	21.0	18.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000023074	mrps18b	312	38.2	31.8	12.7	20.3	46.3	64.0	55.44	33.58	-0.7233250272
ENSDART00000097328	arfgap2	269	45.8	40.7	14.1	25.0	60.4	82.8	49.47	193.01	1.96404979199
ENSDART00000112360	usp45	75	29.2	26.4	9.3	14.6	37.8	54.3	NA	NA	NA
ENSDART00000112361	espl1	459	53.7	47.8	16.0	30.3	71.2	102.8	31.6	114.62	1.85886233785
ENSDART00000112024	SNX19	25	37.6	40.4	5.0	11.6	55.4	73.1	NA	NA	NA
ENSDART00000061672	prpf39	136	60.5	60.7	25.7	42.4	76.6	92.8	40.08	137.79	1.78151677575
ENSDART00000061677	si:ch211-14a17.6	107	50.9	45.0	15.9	29.9	63.5	89.3	NA	NA	NA
ENSDART00000101731	larp7	209	71.8	69.9	31.8	45.9	92.5	120.5	60.95	188.12	1.62595511135
ENSDART00000086610	abcg4a	1	6.9	6.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000037749	stx5a	216	51.6	45.7	16.3	27.5	73.4	96.7	69.74	165.33	1.24529026378
ENSDART00000152518	LRFN2	1	40.2	40.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000083308	ptprsa	16	80.7	81.9	33.8	56.7	109.3	125.9	2.87	3.38	0.235972509606
ENSDART00000021786	arl1	127	82.2	69.8	30.8	47.1	106.0	148.1	29.93	110.56	1.88516533689
ENSDART00000021782	mcat	2	73.7	73.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000083305	slc19a2	21	37.9	31.0	2.6	12.5	46.5	87.5	NA	NA	NA
ENSDART00000021788	pbk	113	39.8	29.3	7.2	14.1	56.8	85.1	NA	NA	NA
ENSDART00000112700	lrig2	3	56.8	70.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000066909	slc35e3	148	43.5	39.9	13.7	24.5	57.0	71.6	NA	NA	NA
ENSDART00000002075	wu:fd55e03	8	37.9	32.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000102850	elk4	9	31.6	31.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000103397	slc39a9	115	38.2	33.0	11.4	19.4	50.8	71.8	31.53	68.62	1.12190395587
ENSDART00000135677	gosr1	109	44.3	43.8	13.5	29.5	60.0	73.0	NA	NA	NA
ENSDART00000126924	pak2b	106	79.7	84.1	27.2	51.4	107.4	128.7	22.09	75.45	1.77212748206
ENSDART00000014098	ggctb	2	44.7	44.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000075086	cep44	11	50.2	46.5	28.1	30.6	67.9	77.9	NA	NA	NA
ENSDART00000014095	rap2c	457	77.5	77.0	29.3	50.3	102.2	125.9	114.06	149.13	0.386777571294
ENSDART00000126923	CYYR1	6	100.1	101.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000041697	abl2	117	58.5	59.9	20.4	32.8	84.6	99.5	8.05	31.83	1.98332646863
ENSDART00000110559	GRAMD1C	288	52.3	48.5	10.0	26.9	75.6	99.5	34.49	179.92	2.38310553232
ENSDART00000105387	jmjd4	19	52.6	46.9	30.6	35.1	59.3	77.7	NA	NA	NA
ENSDART00000022246	bcs1l	23	43.8	35.5	18.5	27.9	52.0	59.6	NA	NA	NA
ENSDART00000046423	arl4cb	62	51.1	33.3	11.1	19.5	62.5	118.0	NA	NA	NA
ENSDART00000142263	EVA1B	10	43.9	55.0	12.6	16.3	63.8	67.3	NA	NA	NA
ENSDART00000086173	atm	22	18.4	14.6	1.4	7.3	21.4	44.5	NA	NA	NA
ENSDART00000089652	CR788297.1	16	22.1	20.8	1.9	8.7	32.2	45.5	NA	NA	NA
ENSDART00000147775	rxfp2b	7	27.1	31.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000129752	zgc:113452	6	76.2	67.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000112793	cdc26	141	45.0	40.3	16.4	26.6	54.1	76.3	49.68	11.36	-2.12870233872
ENSDART00000041349	crygn2	1	23.1	23.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000034441	tcp11l2	11	45.2	24.4	11.8	15.2	74.7	102.1	NA	NA	NA
ENSDART00000032861	ankrd52a	58	42.5	35.9	6.9	18.1	62.9	89.6	14.07	26.27	0.900793871897
ENSDART00000114970	SPDL1	1	69.8	69.8	NA	NA	NA	NA	12.82	5.54	-1.21043838057
ENSDART00000022242	ogdha	77	62.1	58.2	25.4	38.3	80.5	113.8	NA	NA	NA
ENSDART00000089013	vrtn	272	67.2	59.7	14.4	33.9	93.9	125.4	20.22	299.22	3.88735170648
ENSDART00000130230	nfatc2ip	99	20.3	16.6	4.5	9.6	27.6	40.8	29.34	11.15	-1.39582516087
ENSDART00000129759	rdh10b	281	23.0	16.5	4.4	10.5	26.5	37.9	67.51	17.62	-1.93788729467
ENSDART00000078651	dixdc1b	78	32.2	30.4	6.7	18.0	42.5	57.0	NA	NA	NA
ENSDART00000152687	si:ch211-286b5.4	196	41.5	39.4	18.2	25.6	51.6	69.4	112.28	51.18	-1.13344891647
ENSDART00000129758	slc4a2a	6	32.5	30.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000104233	cyfip1	177	110.8	115.7	56.7	85.0	140.1	154.9	10.87	124.17	3.51389280892
ENSDART00000111659	dfnb31a	32	42.0	40.0	12.0	18.3	57.4	72.6	NA	NA	NA
ENSDART00000112803	wdr20b	469	23.0	20.4	5.6	11.9	32.1	44.0	61.11	12.56	-2.2825720168
ENSDART00000113656	ppp2r3b	37	32.3	20.5	7.5	15.3	33.1	52.1	12.88	1.99	-2.69429225757
ENSDART00000124544	epn1	102	39.2	35.5	10.4	19.5	55.1	71.8	29.15	9.27	-1.65285463946
ENSDART00000024578	npepl1	247	66.6	62.6	24.0	40.7	83.8	120.3	71.47	256.06	1.84107220887
ENSDART00000052649	WIPF3	2	22.8	22.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000106166	rx1	1	32.4	32.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000112800	hmox2b	19	68.3	72.1	21.5	39.4	82.4	119.4	NA	NA	NA
ENSDART00000052792	cers3b	3	29.7	17.8	NA	NA	NA	NA	NA	NA	NA
